month,res_county,cases
August,ALAMEDA,5349
August,AMADOR,86
August,BUTTE,1252
August,CALAVERAS,123
August,COLUSA,99
August,CONTRA COSTA,4388
August,DEL NORTE,28
August,EL DORADO,224
August,FRESNO,6265
August,GLENN,98
August,HUMBOLDT,162
August,IMPERIAL,956
August,KERN,5149
August,KINGS,1596
August,LAKE,121
August,LASSEN,85
August,LOS ANGELES,43036
August,MADERA,1130
August,MARIN,853
August,MENDOCINO,327
August,MERCED,2260
August,MONTEREY,2771
August,NAPA,330
August,NEVADA,121
August,ORANGE,7292
August,PLACER,866
August,RIVERSIDE,8717
August,SACRAMENTO,5961
August,SAN BENITO,437
August,SAN BERNARDINO,9369
August,SAN DIEGO,7943
August,SAN FRANCISCO,2482
August,SAN JOAQUIN,3996
August,SAN LUIS OBISPO,1044
August,SAN MATEO,2215
August,SANTA BARBARA,1519
August,SANTA CLARA,5892
August,SANTA CRUZ,608
August,SHASTA,139
August,SISKIYOU,50
August,SMALL COUNTY,340
August,SOLANO,1323
August,SONOMA,2388
August,STANISLAUS,3900
August,SUTTER,547
August,TEHAMA,165
August,TULARE,3511
August,TUOLUMNE,50
August,VENTURA,2693
August,YOLO,687
August,YUBA,402
September,ALAMEDA,2617
September,AMADOR,25
September,BUTTE,551
September,CALAVERAS,43
September,COLUSA,59
September,CONTRA COSTA,2644
September,DEL NORTE,20
September,EL DORADO,214
September,FRESNO,3106
September,GLENN,128
September,HUMBOLDT,85
September,IMPERIAL,674
September,KERN,2363
September,KINGS,1612
September,LAKE,222
September,LASSEN,27
September,LOS ANGELES,28608
September,MADERA,689
September,MARIN,513
September,MENDOCINO,252
September,MERCED,810
September,MONTEREY,1845
September,NAPA,265
September,NEVADA,96
September,ORANGE,5556
September,PLACER,546
September,RIVERSIDE,6730
September,SACRAMENTO,4259
September,SAN BENITO,181
September,SAN BERNARDINO,6351
September,SAN DIEGO,8560
September,SAN FRANCISCO,1629
September,SAN JOAQUIN,1744
September,SAN LUIS OBISPO,632
September,SAN MATEO,1625
September,SANTA BARBARA,950
September,SANTA CLARA,3661
September,SANTA CRUZ,591
September,SHASTA,716
September,SISKIYOU,18
September,SMALL COUNTY,271
September,SOLANO,870
September,SONOMA,1816
September,STANISLAUS,1492
September,SUTTER,269
September,TEHAMA,201
September,TULARE,1892
September,TUOLUMNE,22
September,VENTURA,2138
September,YOLO,330
September,YUBA,196
October,ALAMEDA,2659
October,AMADOR,72
October,BUTTE,333
October,CALAVERAS,36
October,COLUSA,41
October,CONTRA COSTA,2243
October,DEL NORTE,40
October,EL DORADO,264
October,FRESNO,3317
October,GLENN,106
October,HUMBOLDT,74
October,IMPERIAL,1266
October,KERN,2407
October,KINGS,933
October,LAKE,148
October,LASSEN,45
October,LOS ANGELES,39504
October,MADERA,541
October,MARIN,401
October,MENDOCINO,168
October,MERCED,816
October,MONTEREY,1702
October,NAPA,430
October,NEVADA,132
October,ORANGE,6876
October,PLACER,996
October,RIVERSIDE,9768
October,SACRAMENTO,3820
October,SAN BENITO,118
October,SAN BERNARDINO,11149
October,SAN DIEGO,10206
October,SAN FRANCISCO,1287
October,SAN JOAQUIN,2185
October,SAN LUIS OBISPO,759
October,SAN MATEO,1335
October,SANTA BARBARA,824
