month,res_county,cases
April,ALAMEDA,2853
April,AMADOR,59
April,BUTTE,574
April,CALAVERAS,87
April,COLUSA,54
April,CONTRA COSTA,2367
April,DEL NORTE,127
April,EL DORADO,618
April,FRESNO,1991
April,GLENN,48
April,HUMBOLDT,420
April,IMPERIAL,710
April,KERN,1355
April,KINGS,260
April,LAKE,92
April,LASSEN,29
April,LOS ANGELES,12301
April,MADERA,354
April,MARIN,291
April,MENDOCINO,91
April,MERCED,811
April,MONTEREY,434
April,NAPA,326
April,NEVADA,327
April,ORANGE,3127
April,PLACER,1206
April,RIVERSIDE,3024
April,SACRAMENTO,4574
April,SAN BENITO,157
April,SAN BERNARDINO,2662
April,SAN DIEGO,6273
April,SAN FRANCISCO,967
April,SAN JOAQUIN,2384
April,SAN LUIS OBISPO,675
April,SAN MATEO,1068
April,SANTA BARBARA,787
April,SANTA CLARA,3232
April,SANTA CRUZ,262
April,SHASTA,670
April,SISKIYOU,236
April,SMALL COUNTY,314
April,SOLANO,1310
April,SONOMA,567
April,STANISLAUS,2165
April,SUTTER,203
April,TEHAMA,205
April,TULARE,722
April,TUOLUMNE,84
April,VENTURA,945
April,YOLO,470
April,YUBA,169
December,ALAMEDA,24207
December,AMADOR,1851
December,BUTTE,4524
December,CALAVERAS,664
December,COLUSA,614
December,CONTRA COSTA,17808
December,DEL NORTE,364
December,EL DORADO,3835
December,FRESNO,31568
December,GLENN,835
December,HUMBOLDT,885
December,IMPERIAL,8187
December,KERN,30366
December,KINGS,5309
December,LAKE,941
December,LASSEN,2184
December,LOS ANGELES,425472
December,MADERA,4880
December,MARIN,2261
December,MENDOCINO,945
December,MERCED,7679
December,MONTEREY,13750
December,NAPA,2743
December,NEVADA,1300
December,ORANGE,92848
December,PLACER,7591
December,RIVERSIDE,107325
December,SACRAMENTO,28695
December,SAN BENITO,1932
December,SAN BERNARDINO,112352
December,SAN DIEGO,86170
December,SAN FRANCISCO,8480
December,SAN JOAQUIN,21686
December,SAN LUIS OBISPO,5628
December,SAN MATEO,11713
December,SANTA BARBARA,7470
December,SANTA CLARA,36804
December,SANTA CRUZ,5370
December,SHASTA,3185
December,SISKIYOU,385
December,SMALL COUNTY,1721
December,SOLANO,9649
December,SONOMA,7220
December,STANISLAUS,15114
December,SUTTER,2831
December,TEHAMA,1628
December,TULARE,15632
December,TUOLUMNE,1814
December,VENTURA,24166
December,YOLO,3755
December,YUBA,1806
February,ALAMEDA,5759
February,AMADOR,195
February,BUTTE,725
February,CALAVERAS,131
February,COLUSA,152
February,CONTRA COSTA,4627
February,DEL NORTE,118
February,EL DORADO,561
February,FRESNO,5664
February,GLENN,170
February,HUMBOLDT,333
February,IMPERIAL,714
February,KERN,6161
February,KINGS,1143
February,LAKE,293
February,LASSEN,176
February,LOS ANGELES,48461
February,MADERA,892
February,MARIN,779
February,MENDOCINO,314
February,MERCED,2217
February,MONTEREY,2349
February,NAPA,514
February,NEVADA,359
February,ORANGE,11454
February,PLACER,1277
February,RIVERSIDE,11568
February,SACRAMENTO,6561
February,SAN BENITO,295
February,SAN BERNARDINO,9434
February,SAN DIEGO,15307
February,SAN FRANCISCO,2408
February,SAN JOAQUIN,4227
February,SAN LUIS OBISPO,1527
February,SAN MATEO,2445
February,SANTA BARBARA,2750
February,SANTA CLARA,7254
February,SANTA CRUZ,979
February,SHASTA,702
February,SISKIYOU,191
February,SMALL COUNTY,580
February,SOLANO,1654
February,SONOMA,2000
February,STANISLAUS,4001
