Rank,County,Population
1,Los Angeles County,"10,081,570"
2,San Diego County,"3,316,073"
3,Orange County,"3,168,044"
4,Riverside County,"2,411,439"
5,San Bernardino County,"2,149,031"
6,Santa Clara County,"1,927,470"
7,Alameda County,"1,656,754"
8,Sacramento County,"1,524,553"
9,Contra Costa County,"1,142,251"
10,Fresno County,"984,521"
11,Kern County,"887,641"
12,San Francisco County,"874,961"
13,Ventura County,"847,263"
14,San Mateo County,"767,423"
15,San Joaquin County,"742,603"
16,Stanislaus County,"543,194"
17,Sonoma County,"499,772"
18,Tulare County,"461,898"
19,Santa Barbara County,"444,829"
20,Solano County,"441,829"
21,Monterey County,"433,410"
22,Placer County,"385,512"
23,San Luis Obispo County,"282,165"
24,Santa Cruz County,"273,962"
25,Merced County,"271,382"
26,Marin County,"259,943"
27,Butte County,"225,817"
28,Yolo County,"217,352"
29,El Dorado County,"188,563"
30,Imperial County,"180,701"
31,Shasta County,"179,212"
32,Madera County,"155,433"
33,Kings County,"150,691"
34,Napa County,"139,623"
35,Humboldt County,"135,940"
36,Nevada County,"99,244"
37,Sutter County,"96,109"
38,Mendocino County,"87,224"
39,Yuba County,"76,360"
40,Lake County,"64,195"
41,Tehama County,"63,912"
42,San Benito County,"60,376"
43,Tuolumne County,"54,045"
44,Calaveras County,"45,514"
45,Siskiyou County,"43,468"
46,Amador County,"38,429"
47,Lassen County,"30,818"
48,Glenn County,"27,976"
49,Del Norte County,"27,495"
50,Colusa County,"21,454"
51,Plumas County,"18,660"
52,Inyo County,"17,977"
53,Mariposa County,"17,420"
54,Mono County,"14,310"
55,Trinity County,"12,700"
56,Modoc County,"8,907"
57,Sierra County,"3,040"
58,Alpine County,"1,039"
