county,Population,partially_vaccinated,fully_vaccinated
Los Angeles,"10,081,570",5828030,5484678
San Diego,"3,316,073",2018518,1927095
Orange,"3,168,044",1886156,1796692
Riverside,"2,411,439",1156004,1054074
San Bernardino,"2,149,031",957518,878368
Santa Clara,"1,927,470",1351031,1333873
Alameda,"1,656,754",1072682,1080140
Sacramento,"1,524,553",824223,769056
Contra Costa,"1,142,251",756072,747826
Fresno,"984,521",462204,423906
Kern,"887,641",345189,321707
San Francisco,"874,961",618479,614281
Ventura,"847,263",497060,474277
San Mateo,"767,423",533722,520751
San Joaquin,"742,603",370676,317903
Stanislaus,"543,194",258783,216814
Sonoma,"499,772",321936,307066
Tulare,"461,898",187063,169110
Santa Barbara,"444,829",251143,239955
Solano,"441,829",248503,217221
Monterey,"433,410",244481,232883
Placer,"385,512",215794,204331
San Luis Obispo,"282,165",152174,144559
Santa Cruz,"273,962",173674,158574
Merced,"271,382",110764,90457
Marin,"259,943",193612,190034
Butte,"225,817",91936,87961
Yolo,"217,352",128104,120106
El Dorado,"188,563",97799,93306
Imperial,"180,701",114841,104599
Shasta,"179,212",64598,58817
Madera,"155,433",63848,59499
Kings,"150,691",48380,44486
Napa,"139,623",93828,86949
Humboldt,"135,940",70057,68787
Nevada,"99,244",53847,49228
Sutter,"96,109",43566,41025
Mendocino,"87,224",48414,44970
Yuba,"76,360",26087,25338
Lake,"64,195",27822,26563
Tehama,"63,912",20524,19618
San Benito,"60,376",34114,31757
Tuolumne,"54,045",24439,21971
Calaveras,"45,514",20805,18226
Siskiyou,"43,468",17654,16162
Amador,"38,429",19721,15408
Lassen,"30,818",5762,6099
Glenn,"27,976",11242,11310
Del Norte,"27,495",9613,9296
Colusa,"21,454",9367,8684
Plumas,"18,660",8207,8467
Inyo,"17,977",8693,8419
Mariposa,"17,420",7561,5320
Mono,"14,310",8537,8072
Trinity,"12,700",4727,4621
Modoc,"8,907",2848,2976
Sierra,"3,040",1429,1409
Alpine,"1,039",818,688
